dm,mcl,beta_artificial,erases_headline
0.055,0.07,-0.1291410443232298,False
0.055,0.075,-0.1345318929581061,False
0.055,0.08,-0.1399519604274454,False
0.055,0.085,-0.14540156519501,False
0.055,0.09,-0.1508810309596356,False
0.055,0.095,-0.1563906867706052,False
0.055,0.1,-0.1619308671462206,False
0.055,0.105,-0.167501912195676,False
0.055,0.11,-0.1731041677443458,False
0.055,0.115,-0.1787379854626018,True
0.055,0.12,-0.1844037229982791,True
0.055,0.125,-0.190101744112917,True
0.055,0.13,-0.195832418821902,True
0.055,0.135,-0.201596123538652,True
0.055,0.14,-0.2073932412229779,True
0.055,0.145,-0.2132241615337712,True
0.055,0.15,-0.2190892809861693,True
0.055,0.155,-0.2249890031133576,True
0.055,0.16,-0.2309237386331721,True
0.055,0.165,-0.2368939056196759,True
0.055,0.17,-0.2428999296798878,True
0.055,0.175,-0.2489422441358505,True
0.055,0.18,-0.2550212902122325,True
0.055,0.185,-0.2611375172296687,True
0.055,0.19,-0.2672913828040469,True
0.055,0.195,-0.2734833530519681,True
0.055,0.2,-0.279713902802604,True
0.06,0.0,-0.0618754037180875,False
0.06,0.005,-0.0668879455416318,False
0.06,0.01,-0.0719257395715889,False
0.06,0.015,-0.0769890415281357,False
0.06,0.02,-0.082078111035607,False
0.06,0.025,-0.0871932117023773,False
0.06,0.03,-0.092334611202796,False
0.06,0.035,-0.0975025813612387,False
0.06,0.04,-0.1026973982383427,False
0.06,0.045,-0.1079193422194943,False
0.06,0.05,-0.1131686981056381,False
0.06,0.055,-0.1184457552064819,False
0.06,0.06,-0.123750807436175,False
0.06,0.065,-0.1290841534115375,False
0.06,0.07,-0.134446096552923,False
0.06,0.075,-0.1398369451877994,False
0.06,0.08,-0.1452570126571385,False
0.06,0.085,-0.1507066174247032,False
0.06,0.09,-0.1561860831893288,False
0.06,0.095,-0.1616957390002983,False
0.06,0.1,-0.1672359193759138,False
0.06,0.105,-0.1728069644253692,False
0.06,0.11,-0.178409219974039,True
0.06,0.115,-0.184043037692295,True
0.06,0.12,-0.1897087752279724,True
0.06,0.125,-0.19540679634261,True
0.06,0.13,-0.2011374710515951,True
