year_month,age_group,exposure_quartile,n_emp,share_of_coded
2020-11,35-40,3,127021,0.1985066019881759
2020-11,35-40,4,198264,0.3098441433824621
2020-11,41-49,1,186998,0.1861191453954427
2020-11,41-49,2,278062,0.2767551621244483
2020-11,41-49,3,217731,0.2167077062112704
2020-11,41-49,4,321931,0.3204179862688385
2020-11,50+,1,383606,0.2166054014985968
2020-11,50+,2,515307,0.2909711517286941
2020-11,50+,3,380240,0.2147047696486146
2020-11,50+,4,491837,0.2777186771240944
2020-12,22-25,1,86617,0.2748969338821729
2020-12,22-25,2,149563,0.4746690617571543
2020-12,22-25,3,34343,0.1089946015252833
2020-12,22-25,4,44566,0.1414394028353893
2020-12,26-30,1,130507,0.2274699206773882
2020-12,26-30,2,210008,0.366037860816791
2020-12,26-30,3,88805,0.1547845426356859
2020-12,26-30,4,144413,0.2517076758701347
2020-12,31-34,1,95335,0.205939597387925
2020-12,31-34,2,150456,0.3250102067928637
2020-12,31-34,3,83118,0.1795488273529087
2020-12,31-34,4,134018,0.2895013684663025
2020-12,35-40,1,125782,0.1933768929202859
2020-12,35-40,2,193824,0.2979844722884157
2020-12,35-40,3,129320,0.1988162041663463
2020-12,35-40,4,201524,0.3098224306249519
2020-12,41-49,1,188382,0.1845697125865253
2020-12,41-49,2,282964,0.2772376562109626
2020-12,41-49,3,221583,0.2170988237945241
2020-12,41-49,4,327726,0.321093807407988
2020-12,50+,1,388777,0.2146402354998851
2020-12,50+,2,527063,0.2909866747345547
2020-12,50+,3,389973,0.2153005361906612
2020-12,50+,4,505483,0.2790725535748988
2021-01,22-25,1,80959,0.2761588342241976
2021-01,22-25,2,142479,0.4860093941554299
2021-01,22-25,3,30049,0.1024999914722626
2021-01,22-25,4,39674,0.1353317801481097
2021-01,26-30,1,121894,0.2260741834314149
2021-01,26-30,2,197100,0.3655571361538048
2021-01,26-30,3,83037,0.1540069402070192
2021-01,26-30,4,137146,0.2543617402077611
2021-01,31-34,1,96602,0.2059744136460554
2021-01,31-34,2,150956,0.3218678038379531
2021-01,31-34,3,84022,0.1791513859275053
2021-01,31-34,4,137420,0.2930063965884861
2021-01,35-40,1,124513,0.1933209538034449
2021-01,35-40,2,191696,0.2976303965072336
2021-01,35-40,3,127843,0.1984911671640215
2021-01,35-40,4,200022,0.3105574825252999
2021-01,41-49,1,183215,0.1839461860897066
2021-01,41-49,2,274728,0.2758244019979418
2021-01,41-49,3,215802,0.2166632363645491
2021-01,41-49,4,322280,0.3235661755478025
2021-01,50+,1,390589,0.2147919137860588
2021-01,50+,2,528130,0.2904281826365598
2021-01,50+,3,388290,0.2135276523506519
2021-01,50+,4,511444,0.2812522512267295
2021-02,22-25,1,79168,0.2760997011198415
2021-02,22-25,2,139540,0.4866480433289042
2021-02,22-25,3,29460,0.1027422341727785
2021-02,22-25,4,38569,0.1345100213784757
2021-02,26-30,1,120769,0.2252640257254878
2021-02,26-30,2,195939,0.3654746494268096
2021-02,26-30,3,82667,0.1541943811296682
2021-02,26-30,4,136747,0.2550669437180343
2021-02,31-34,1,95955,0.2053128209517288
2021-02,31-34,2,150549,0.3221264121876069
2021-02,31-34,3,83627,0.1789348681958233
2021-02,31-34,4,137229,0.2936258986648408
2021-02,35-40,1,123874,0.1925608349474116
2021-02,35-40,2,191779,0.2981184458835563
2021-02,35-40,3,127631,0.1984010520785079
2021-02,35-40,4,200014,0.3109196670905241
2021-02,41-49,1,182269,0.1834166379033613
2021-02,41-49,2,274534,0.2762625749313454
2021-02,41-49,3,215347,0.2167029101085492
2021-02,41-49,4,321593,0.323617877056744
2021-02,50+,1,387943,0.2141673765223713
2021-02,50+,2,526817,0.2908340008645242
