ssyk1,age_group,code_age,ssyk_status,n,year
6,50+,3,1,591.0,2019
5,50+,5,4,66.0,2019
7,22-29,0,12,339.0,2019
4,22-29,2,1,2205.0,2019
8,30-49,2,4,207.0,2019
2,30-49,4,2,105.0,2019
8,22-29,2,5,2556.0,2019
6,50+,5,5,396.0,2019
1,50+,5,5,4682.0,2019
8,50+,3,4,69.0,2019
6,22-29,3,5,257.0,2019
5,50+,0,1,254342.0,2019
2,30-49,-1,4,144.0,2019
6,30-49,2,4,24.0,2019
1,22-29,2,4,17.0,2019
3,22-29,5,5,723.0,2019
7,22-29,5,1,425.0,2019
1,30-49,2,3,25.0,2019
1,30-49,4,2,95.0,2019
3,50+,0,1,147223.0,2019
0,50+,2,3,,2019
9,22-29,3,5,4274.0,2019
1,30-49,3,3,18.0,2019
7,22-29,3,4,109.0,2019
6,30-49,2,5,483.0,2019
7,22-29,1,1,9028.0,2019
1,50+,3,2,135.0,2019
6,22-29,0,12,21.0,2019
5,50+,-1,2,79.0,2019
5,50+,1,4,1436.0,2019
2,50+,0,1,317222.0,2019
4,50+,2,4,93.0,2019
1,50+,2,2,226.0,2019
4,30-49,-1,3,32.0,2019
0,50+,4,1,46.0,2019
9,50+,4,3,21.0,2019
0,50+,5,5,39.0,2019
2,22-29,3,2,66.0,2019
6,30-49,5,4,,2019
3,30-49,1,3,150.0,2019
3,22-29,1,4,1172.0,2019
6,50+,1,5,552.0,2019
3,30-49,4,4,106.0,2019
3,22-29,0,14,553.0,2019
3,50+,4,3,34.0,2019
3,22-29,4,1,323.0,2019
8,30-49,3,3,8.0,2019
9,50+,2,5,4468.0,2019
3,50+,5,2,96.0,2019
6,22-29,5,2,,2019
4,30-49,5,2,28.0,2019
0,22-29,-1,1,3120.0,2019
1,30-49,5,5,1143.0,2019
5,22-29,5,2,72.0,2019
1,50+,-1,4,29.0,2019
9,30-49,2,2,191.0,2019
4,30-49,2,1,4712.0,2019
8,22-29,1,4,912.0,2019
1,30-49,-1,1,4316.0,2019
3,50+,-1,2,56.0,2019
3,30-49,3,1,5977.0,2019
2,30-49,3,2,216.0,2019
2,30-49,0,15,486.0,2019
8,22-29,0,14,286.0,2019
5,22-29,0,14,780.0,2019
6,22-29,1,1,942.0,2019
3,30-49,0,14,4260.0,2019
3,50+,1,3,66.0,2019
7,50+,0,3,42.0,2019
2,30-49,2,2,459.0,2019
1,22-29,-1,2,22.0,2019
8,30-49,3,4,80.0,2019
9,30-49,4,3,29.0,2019
0,30-49,-1,1,2805.0,2019
0,22-29,0,2,8.0,2019
1,50+,-1,3,15.0,2019
0,30-49,3,5,85.0,2019
