year_month,age_group,exposure_quartile,n_emp,share_of_coded
2020-06,31-34,2,147614,0.3222147763810156
2020-06,31-34,3,82024,0.179043619290016
2020-06,31-34,4,133583,0.2915876303962036
2020-06,35-40,1,124841,0.19386813842111475
2020-06,35-40,2,190594,0.2959773149384733
2020-06,35-40,3,127673,0.19826600905663191
2020-06,35-40,4,200840,0.31188853758378005
2020-06,41-49,1,187116,0.18431351303431326
2020-06,41-49,2,280222,0.2760250392777813
2020-06,41-49,3,219986,0.2166912101496742
2020-06,41-49,4,327881,0.3229702375382312
2020-06,50+,1,392174,0.21649333722701233
2020-06,50+,2,525814,0.29026714575847523
2020-06,50+,3,387728,0.21403899456964268
2020-06,50+,4,505767,0.27920052244486976
2020-07,22-25,1,90945,0.27819838669713404
2020-07,22-25,2,156569,0.4789404937795765
2020-07,22-25,3,34854,0.10661747836540668
2020-07,22-25,4,44539,0.13624364115788282
2020-07,26-30,1,130959,0.23171694080344252
2020-07,26-30,2,207584,0.36729609602808366
2020-07,26-30,3,86211,0.15254048353763835
2020-07,26-30,4,140414,0.24844647963083544
2020-07,31-34,1,94106,0.2088376407511462
2020-07,31-34,2,146545,0.3252089352844316
2020-07,31-34,3,79980,0.17748958097546036
2020-07,31-34,4,129987,0.2884638429889618
2020-07,35-40,1,123411,0.19559305056754966
2020-07,35-40,2,188014,0.2979817991054872
2020-07,35-40,3,124336,0.1970590752474808
2020-07,35-40,4,195197,0.30936607507948233
2020-07,41-49,1,184945,0.18633731239823964
2020-07,41-49,2,274970,0.2770400432028114
2020-07,41-49,3,214238,0.21585083745748232
2020-07,41-49,4,318375,0.3207718069414666
2020-07,50+,1,383800,0.21789262968812628
2020-07,50+,2,512845,0.2911546265565584
2020-07,50+,3,376169,0.21356032469294625
2020-07,50+,4,488604,0.27739241906236906
2020-08,22-25,1,91524,0.2800123601452623
2020-08,22-25,2,155580,0.47598797027446255
2020-08,22-25,3,34771,0.1063798541869992
2020-08,22-25,4,44982,0.13761981539327595
2020-08,26-30,1,130985,0.23134909631053077
2020-08,26-30,2,206666,0.36501883679896285
2020-08,26-30,3,86795,0.15329957486943174
2020-08,26-30,4,141733,0.2503324920210746
2020-08,31-34,1,93975,0.20860896280445032
2020-08,31-34,2,145639,0.3232945010255636
2020-08,31-34,3,80326,0.17831043943847064
2020-08,31-34,4,130544,0.28978609673151545
2020-08,35-40,1,122772,0.19505390625744726
2020-08,35-40,2,186787,0.29675768080759296
2020-08,35-40,3,124599,0.19795655088922287
2020-08,35-40,4,195268,0.3102318620457369
2020-08,41-49,1,183904,0.18615347863583542
2020-08,41-49,2,273009,0.27634839399301153
2020-08,41-49,3,213724,0.21633823118564735
2020-08,41-49,4,317279,0.32115989618550567
2020-08,50+,1,378246,0.21793435799575478
2020-08,50+,2,506195,0.291654855162146
2020-08,50+,3,370199,0.21329791034319046
2020-08,50+,4,480956,0.27711287649890876
2020-09,22-25,1,92682,0.27834020559731637
2020-09,22-25,2,158002,0.47450755448509074
2020-09,22-25,3,35967,0.10801517203684294
2020-09,22-25,4,46330,0.13913706788074995
2020-09,26-30,1,132504,0.23018593250283598
2020-09,26-30,2,210305,0.3653418201337991
2020-09,26-30,3,88680,0.15405488509291412
2020-09,26-30,4,144150,0.25041736227045075
2020-09,31-34,1,95518,0.20847265266925663
2020-09,31-34,2,148507,0.3241237068401065
2020-09,31-34,3,81719,0.17835566807804792
2020-09,31-34,4,132436,0.28904797241258895
2020-09,35-40,1,124506,0.19515047021943574
2020-09,35-40,2,189653,0.2972617554858934
2020-09,35-40,3,126361,0.19805799373040753
2020-09,35-40,4,197480,0.30952978056426333
2020-09,41-49,1,186586,0.18645697177553133
2020-09,41-49,2,277016,0.27682443748925745
2020-09,41-49,3,216513,0.2163632766125841
2020-09,41-49,4,320577,0.32035531412262713
2020-09,50+,1,383539,0.21793784146989384
2020-09,50+,2,512649,0.29130184020842625
2020-09,50+,3,376408,0.213885803091732
2020-09,50+,4,487259,0.27687451522994794
2020-10,22-25,1,86174,0.2793222932083459
2020-10,22-25,2,145015,0.47004806959881495
2020-10,22-25,3,33461,0.10845966594383993
2020-10,22-25,4,43861,0.14216997124899922
2020-10,26-30,1,129558,0.23003947095076518
2020-10,26-30,2,204208,0.36258587106866313
2020-10,26-30,3,87138,0.15471973494271118
2020-10,26-30,4,142295,0.2526549230378605
2020-10,31-34,1,94542,0.2082441254989031
2020-10,31-34,2,146430,0.32253588137340417
2020-10,31-34,3,81322,0.17912492621080361
2020-10,31-34,4,131702,0.29009506691688913
2020-10,35-40,1,124745,0.19539522323722167
2020-10,35-40,2,189315,0.2965349047028307
2020-10,35-40,3,126547,0.19821779882961793
2020-10,35-40,4,197817,0.3098520732303297
2020-10,41-49,1,186898,0.18625727497408914
2020-10,41-49,2,277231,0.2762805947540461
2020-10,41-49,3,217146,0.21640157856972017
2020-10,41-49,4,322165,0.32106055170214465
2020-10,50+,1,384035,0.21713883462483355
2020-10,50+,2,513796,0.29050754403869694
2020-10,50+,3,379038,0.21431345996726253
2020-10,50+,4,491746,0.27804016136920695
2020-11,22-25,1,86143,0.27921366524050306
2020-11,22-25,2,145156,0.47049137819266174
2020-11,22-25,3,33433,0.10836574614287567
2020-11,22-25,4,43788,0.14192921042395956
2020-11,26-30,1,129508,0.22981399525139565
2020-11,26-30,2,204258,0.362459053047376
2020-11,26-30,3,87400,0.15509268296145395
2020-11,26-30,4,142368,0.25263426873977435
2020-11,31-34,1,94652,0.20806524295747558
2020-11,31-34,2,146743,0.32257234868052276
2020-11,31-34,3,81604,0.1793829616521768
2020-11,31-34,4,131916,0.2899794467098249
2020-11,35-40,1,124746,0.19495126452804654
2020-11,35-40,2,189852,0.2966979901013154
2020-11,35-40,3,127021,0.19850660198817596
2020-11,35-40,4,198264,0.30984414338246213
2020-11,41-49,1,186998,0.18611914539544272
2020-11,41-49,2,278062,0.27675516212444834
2020-11,41-49,3,217731,0.2167077062112704
2020-11,41-49,4,321931,0.32041798626883855
2020-11,50+,1,383606,0.21660540149859683
2020-11,50+,2,515307,0.29097115172869414
2020-11,50+,3,380240,0.21470476964861462
2020-11,50+,4,491837,0.2777186771240944
2020-12,22-25,1,86617,0.27489693388217296
2020-12,22-25,2,149563,0.47466906175715434
2020-12,22-25,3,34343,0.10899460152528333
2020-12,22-25,4,44566,0.14143940283538936
2020-12,26-30,1,130507,0.22746992067738825
2020-12,26-30,2,210008,0.36603786081679107
2020-12,26-30,3,88805,0.15478454263568595
2020-12,26-30,4,144413,0.2517076758701347
2020-12,31-34,1,95335,0.20593959738792508
2020-12,31-34,2,150456,0.3250102067928637
2020-12,31-34,3,83118,0.17954882735290878
2020-12,31-34,4,134018,0.2895013684663025
2020-12,35-40,1,125782,0.19337689292028595
2020-12,35-40,2,193824,0.29798447228841574
2020-12,35-40,3,129320,0.19881620416634638
2020-12,35-40,4,201524,0.30982243062495196
2020-12,41-49,1,188382,0.18456971258652533
2020-12,41-49,2,282964,0.2772376562109626
2020-12,41-49,3,221583,0.2170988237945241
2020-12,41-49,4,327726,0.321093807407988
