year_month,age_group,n_emp,source
2024-03,22-25,341425,rebuilt
2024-03,26-30,527093,rebuilt
2024-03,31-34,532116,rebuilt
2024-03,35-40,759627,rebuilt
2024-03,41-49,1055107,rebuilt
2024-03,50+,2066049,rebuilt
2024-04,22-25,347026,rebuilt
2024-04,26-30,529976,rebuilt
2024-04,31-34,533587,rebuilt
2024-04,35-40,761235,rebuilt
2024-04,41-49,1057309,rebuilt
2024-04,50+,2070344,rebuilt
2024-05,22-25,354990,rebuilt
2024-05,26-30,536464,rebuilt
2024-05,31-34,539297,rebuilt
2024-05,35-40,768809,rebuilt
2024-05,41-49,1067896,rebuilt
2024-05,50+,2092840,rebuilt
2024-06,22-25,384362,rebuilt
2024-06,26-30,554845,rebuilt
2024-06,31-34,549931,rebuilt
2024-06,35-40,779628,rebuilt
2024-06,41-49,1077399,rebuilt
2024-06,50+,2110590,rebuilt
2024-07,22-25,400763,rebuilt
2024-07,26-30,549362,rebuilt
2024-07,31-34,538457,rebuilt
2024-07,35-40,762078,rebuilt
2024-07,41-49,1054821,rebuilt
2024-07,50+,2056512,rebuilt
2024-08,22-25,391283,rebuilt
2024-08,26-30,542187,rebuilt
2024-08,31-34,531996,rebuilt
2024-08,35-40,751871,rebuilt
2024-08,41-49,1040460,rebuilt
2024-08,50+,2007970,rebuilt
2024-09,22-25,396337,rebuilt
2024-09,26-30,551283,rebuilt
2024-09,31-34,540868,rebuilt
2024-09,35-40,765564,rebuilt
2024-09,41-49,1057411,rebuilt
2024-09,50+,2041593,rebuilt
2024-10,22-25,355249,rebuilt
2024-10,26-30,534747,rebuilt
2024-10,31-34,534632,rebuilt
2024-10,35-40,761502,rebuilt
2024-10,41-49,1057030,rebuilt
2024-10,50+,2049882,rebuilt
2024-11,22-25,350924,rebuilt
2024-11,26-30,530384,rebuilt
2024-11,31-34,531238,rebuilt
2024-11,35-40,758098,rebuilt
2024-11,41-49,1053971,rebuilt
2024-11,50+,2045532,rebuilt
2024-12,22-25,354356,rebuilt
2024-12,26-30,532889,rebuilt
2024-12,31-34,535621,rebuilt
2024-12,35-40,764859,rebuilt
2024-12,41-49,1065837,rebuilt
2024-12,50+,2083648,rebuilt
2024-01,22-25,353228,headline
2024-01,26-30,533086,headline
2024-01,31-34,534790,headline
2024-01,35-40,760059,headline
2024-01,41-49,1056210,headline
2024-01,50+,2068878,headline
2024-02,22-25,340016,headline
2024-02,26-30,523785,headline
2024-02,31-34,530116,headline
2024-02,35-40,755176,headline
2024-02,41-49,1048743,headline
2024-02,50+,2053439,headline
2024-03,22-25,341428,headline
2024-03,26-30,527100,headline
2024-03,31-34,532125,headline
2024-03,35-40,759645,headline
