grp,expband,fresh,n,ws,wh
53I,0-2,0,1074.0,25018.97014244,22.0
53I,0-2,1,3809.0,94303.96019758,160.0
53I,11-20,0,11604.0,417619.38179200003,1529.0
53I,11-20,1,24562.0,948588.70367487,3998.0
53I,21+,0,41177.0,1377282.67407343,3599.0
53I,21+,1,85115.0,2842741.07579923,7886.0
53I,3-5,0,1653.0,41335.72020354,71.0
53I,3-5,1,4203.0,116701.12033298,338.0
53I,6-10,0,3911.0,117235.38047783,370.0
53I,6-10,1,8890.0,299101.55124638,1196.0
53I,na,0,7169.0,235434.84064181,663.0
53I,na,1,16601.0,540228.88056834,1435.0
53R,0-2,0,622.0,12479.98008271,6.0
53R,0-2,1,1903.0,41724.07012041,26.0
53R,11-20,0,2202.0,48434.50021124,19.0
53R,11-20,1,3848.0,106791.11040152,184.0
53R,21+,0,5277.0,171375.75060423,352.0
53R,21+,1,9983.0,356831.94066415,986.0
53R,3-5,0,940.0,18033.5201324,16.0
53R,3-5,1,1669.0,34616.3001786,14.0
53R,6-10,0,1686.0,34337.69016902,17.0
53R,6-10,1,2946.0,70562.52035683,85.0
53R,na,0,43.0,1146.1500099999998,0.0
53R,na,1,143.0,3820.04999888,0.0
54P,0-2,0,15400.0,723595.33609614,3219.0
54P,0-2,1,21019.0,1226280.97731571,7526.0
54P,11-20,0,6965.0,528760.81272256,4082.0
54P,11-20,1,15494.0,1098510.29205246,8089.0
54P,21+,0,3899.0,286861.16140108,2088.0
54P,21+,1,9677.0,692672.05137514,5181.0
54P,3-5,0,2131.0,159269.6310809,1267.0
54P,3-5,1,5446.0,378657.2215947,2843.0
54P,6-10,0,3994.0,303398.9616491,2408.0
54P,6-10,1,8274.0,589835.78184402,4465.0
55A,0-2,0,188.0,14827.4496557,143.0
