year_month,age_group,vintage,n_emp,share
2024-12,31-34,2021,279,0.0005209733799408443
2024-12,31-34,2022,420,0.000784261002061486
2024-12,31-34,2023,534837,0.9986947656179976
2024-12,35-40,2021,307,0.00040145307706591416
2024-12,35-40,2022,502,0.0006564477025638075
2024-12,35-40,2023,763913,0.9989420992203702
2024-12,41-49,2021,376,0.00035279557654397325
2024-12,41-49,2022,541,0.0005076127843358764
2024-12,41-49,2023,1064856,0.9991395916391201
2024-12,50+,2021,596,0.00028607908454692947
2024-12,50+,2022,675,0.00032399896320331776
2024-12,50+,2023,2082069,0.9993899219522497
2025-01,22-25,2021,141,0.000408088841809136
2025-01,22-25,2022,308,0.0008914281083490346
2025-01,22-25,2023,345064,0.9987004830498418
2025-01,26-30,2021,271,0.0005274302663230909
2025-01,26-30,2022,508,0.0009886884697126576
2025-01,26-30,2023,513033,0.9984838812639643
2025-01,31-34,2021,270,0.0005229396179054525
2025-01,31-34,2022,432,0.000836703388648724
2025-01,31-34,2023,515610,0.9986403569934458
2025-01,35-40,2021,333,0.00042679503841155345
2025-01,35-40,2022,511,0.000654931725610522
2025-01,35-40,2023,779390,0.9989182732359779
2025-01,41-49,2021,373,0.0003548970560670746
2025-01,41-49,2022,554,0.0005271125175902395
2025-01,41-49,2023,1050082,0.9991179904263426
2025-01,50+,2021,584,0.00028057983937765087
2025-01,50+,2022,676,0.0003247807729782397
2025-01,50+,2023,2080144,0.9993946393876441
2025-02,22-25,2021,150,0.0004452584428421737
2025-02,22-25,2022,303,0.0008994220545411909
2025-02,22-25,2023,336430,0.9986553195026167
2025-02,26-30,2021,305,0.000600746106968261
2025-02,26-30,2022,512,0.0010084655959598347
2025-02,26-30,2023,506885,0.998390788297072
2025-02,31-34,2021,280,0.0005465408841860347
2025-02,31-34,2022,458,0.000893984731990014
2025-02,31-34,2023,511575,0.998559474383824
2025-02,35-40,2021,359,0.0004625388616390367
2025-02,35-40,2022,516,0.0006648190880382812
2025-02,35-40,2023,775276,0.9988726420503227
2025-02,41-49,2021,386,0.0003691621453867643
2025-02,41-49,2022,567,0.0005422666747002471
2025-02,41-49,2023,1044658,0.999088571179913
2025-02,50+,2021,584,0.0002823772879692286
2025-02,50+,2022,689,0.0003331471770732851
2025-02,50+,2023,2066882,0.9993844755349575
2025-03,22-25,2021,143,0.0004232885673606034
2025-03,22-25,2022,308,0.0009116984527766842
2025-03,22-25,2023,337380,0.9986650129798628
2025-03,26-30,2021,316,0.0006208263670459078
2025-03,26-30,2022,536,0.0010530472554955903
2025-03,26-30,2023,508147,0.9983261263774585
2025-03,31-34,2021,299,0.0005824463526001652
2025-03,31-34,2022,490,0.0009545107450638159
2025-03,31-34,2023,512563,0.998463042902336
2025-03,35-40,2021,364,0.0004679517341211378
2025-03,35-40,2022,557,0.0007160689997403125
2025-03,35-40,2023,776937,0.9988159792661385
2025-03,41-49,2021,405,0.00038560815166111423
2025-03,41-49,2022,612,0.0005826967625101281
2025-03,41-49,2023,1049272,0.9990316950858288
2025-03,50+,2021,618,0.00029712981255339803
2025-03,50+,2022,701,0.00033703559644001946
2025-03,50+,2023,2078580,0.9993658345910066
2025-04,22-25,2021,143,0.000415983058144541
2025-04,22-25,2022,321,0.0009337801514992844
2025-04,22-25,2023,343300,0.9986502367903561
2025-04,26-30,2021,321,0.0006272557268838678
2025-04,26-30,2022,568,0.0011099104450779966
2025-04,26-30,2023,510864,0.9982628338280382
2025-04,31-34,2021,305,0.0005924090069476951
2025-04,31-34,2022,505,0.0009808739295363478
2025-04,31-34,2023,514037,0.9984267170635159
2025-04,35-40,2021,355,0.0004551772242138897
2025-04,35-40,2022,557,0.0007141794757384129
2025-04,35-40,2023,779004,0.9988306433000477
2025-04,41-49,2021,389,0.0003696288603173487
2025-04,41-49,2022,585,0.0005558685945646504
2025-04,41-49,2023,1051433,0.999074502545118
2025-04,50+,2021,586,0.00028135580850904466
2025-04,50+,2022,704,0.00033801107370369873
2025-04,50+,2023,2081482,0.9993806331177872
2025-05,22-25,2021,159,0.00045097427461213374
2025-05,22-25,2022,346,0.0009813654026150835
2025-05,22-25,2023,352065,0.9985676603227728
2025-05,26-30,2021,336,0.0006493569240580943
2025-05,26-30,2022,595,0.0011499028863528752
2025-05,26-30,2023,516504,0.998200740189589
2025-05,31-34,2021,315,0.0006073260878367044
2025-05,31-34,2022,518,0.0009987140111092474
2025-05,31-34,2023,517834,0.9983939599010541
2025-05,35-40,2021,374,0.00047667358310689214
2025-05,35-40,2022,581,0.0007405009406018832
2025-05,35-40,2023,783649,0.9987828254762913
2025-05,41-49,2021,400,0.00037820660102891107
2025-05,41-49,2022,579,0.0005474540549893487
2025-05,41-49,2023,1056644,0.9990743393439817
2025-05,50+,2021,606,0.0002899547890626757
2025-05,50+,2022,696,0.00033301738149772654
2025-05,50+,2023,2088679,0.9993770278294396
2025-06,22-25,2021,189,0.0004951208330604492
2025-06,22-25,2022,407,0.0010662125875957823
2025-06,22-25,2023,381129,0.9984386665793438
2025-06,26-30,2021,348,0.0006486595301691921
2025-06,26-30,2022,647,0.0012059848161478943
2025-06,26-30,2023,535496,0.9981453556536829
2025-06,31-34,2021,320,0.0006027398292362721
2025-06,31-34,2022,552,0.0010397262054325693
2025-06,31-34,2023,530037,0.9983575339653311
2025-06,35-40,2021,375,0.00046928557215922674
2025-06,35-40,2022,619,0.0007746340511108303
2025-06,35-40,2023,798093,0.9987560803767299
2025-06,41-49,2021,427,0.00039798973242413964
2025-06,41-49,2022,618,0.0005760132427122208
2025-06,41-49,2023,1071847,0.9990259970248636
2025-06,50+,2021,642,0.0002974650142685905
2025-06,50+,2022,737,0.0003414824229220424
2025-06,50+,2023,2156858,0.9993610525628094
